code,name,name_clean,name_search,scie,grup,food_category,calories_per_100g,protein_per_100g,carbs_per_100g,fat_per_100g,fiber_per_100g,water,ash,protein_percent,carbs_percent,fat_percent,fasat,fauns,fapu,cholc,ca,fe,mg,p,k,na,zn,vita,vitc,vitd,vite,thia,ribf,nia,vitb6c,folsum,fsugar,protein_density,fiber_density,search_keywords,tags,regn
A011,"Rice, flakes","rice, flakes",rice flakes,Oryza sativa,Cereals and Millets,Grains,1480.0,7.44,76.75,1.14,3.46,10.36,0.85,8.7,89.9,1.3,0.284,1.002,0.577,0.0,0.009,0.004,0.078,0.195,0.148,0.003,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.34,0.5,0.23,rice flakes vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
A012,"Rice, puffed","rice, puffed",rice puffed,Oryza sativa,Cereals and Millets,Grains,1514.0,7.47,77.68,1.62,2.56,9.4,1.28,8.6,89.5,1.9,0.047,0.085,0.045,0.0,0.015,0.005,0.065,0.152,0.14,0.004,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.64,0.49,0.17,rice puffed vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
A013,"Rice, raw, brown","rice, raw, brown",rice raw brown,Oryza sativa,Cereals and Millets,Grains,1480.0,9.16,74.8,1.24,4.43,9.33,1.04,10.8,87.8,1.5,0.346,0.709,0.506,0.0,0.011,0.001,0.094,0.267,0.199,0.004,0.002,0.0,0.0,0.0,0.001,0.0,0.0,0.003,0.0,0.0,0.69,0.62,0.3,rice raw brown vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
A014,"Rice, parboiled, milled","rice, parboiled, milled",rice parboiled milled,Oryza sativa,Cereals and Millets,Grains,1471.0,7.81,77.16,0.55,3.74,10.09,0.65,9.1,90.2,0.6,0.15,0.303,0.216,0.0,0.008,0.001,0.027,0.14,0.142,0.003,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.67,0.53,0.25,rice parboiled milled vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
A015,"Rice, raw, milled","rice, raw, milled",rice raw milled,Oryza sativa,Cereals and Millets,Grains,1491.0,7.94,78.24,0.52,2.81,9.93,0.56,9.2,90.2,0.6,0.184,0.37,0.253,0.0,0.007,0.001,0.019,0.096,0.108,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.69,0.53,0.19,rice raw milled vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
A016,Samai,samai,samai,Panicum sumatrense,Cereals and Millets,Grains,1449.0,10.13,65.55,3.89,7.72,11.36,1.34,12.7,82.4,4.9,0.589,2.145,1.277,0.0,0.016,0.001,0.091,0.13,0.105,0.005,0.002,0.0,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.37,0.7,0.53,samai vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
A017,Varagu,varagu,varagu,Setaria italica,Cereals and Millets,Grains,1388.0,8.92,66.19,2.55,6.39,14.23,1.72,11.5,85.2,3.3,0.246,0.894,0.597,0.0,0.015,0.002,0.122,0.101,0.094,0.003,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,1.29,0.64,0.46,varagu vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,5
A018,"Wheat flour, refined","wheat flour, refined",wheat flour refined,Triticum aestivum,Cereals and Millets,Grains,1472.0,10.36,74.27,0.76,2.76,11.34,0.51,12.1,87.0,0.9,0.099,0.394,0.343,0.0,0.02,0.002,0.031,0.11,0.148,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,1.79,0.7,0.19,wheat flour refined vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
A019,"Wheat flour, atta","wheat flour, atta",wheat flour atta,Triticum aestivum,Cereals and Millets,Grains,1340.0,10.57,64.17,1.53,11.36,11.1,1.28,13.9,84.1,2.0,0.206,0.891,0.742,0.0,0.031,0.004,0.125,0.315,0.311,0.002,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,1.8,0.79,0.85,wheat flour atta vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
A020,"Wheat, whole","wheat, whole",wheat whole,Triticum aestivum,Cereals and Millets,Grains,1347.0,10.59,64.72,1.47,11.23,10.58,1.42,13.8,84.3,1.9,0.191,0.795,0.654,0.0,0.039,0.004,0.125,0.315,0.366,0.002,0.003,0.0,0.0,0.0,0.001,0.0,0.0,0.003,0.0,0.0,1.77,0.79,0.83,wheat whole vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
A021,"Wheat, bulgur","wheat, bulgur",wheat bulgur,Triticum aestivum,Cereals and Millets,Grains,1430.0,10.84,69.06,1.45,8.81,8.61,1.23,13.3,84.9,1.8,0.196,0.852,0.7,0.0,0.027,0.004,0.116,0.245,0.33,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,1.2,0.76,0.62,wheat bulgur vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
A022,"Wheat, semolina","wheat, semolina",wheat semolina,Triticum aestivum,Cereals and Millets,Grains,1396.0,11.38,68.43,0.74,9.72,8.94,0.8,14.1,85.0,0.9,0.089,0.392,0.325,0.0,0.029,0.003,0.038,0.119,0.284,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,1.65,0.82,0.7,wheat semolina vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
A023,"Wheat, vermicelli","wheat, vermicelli",wheat vermicelli,Triticum aestivum,Cereals and Millets,Grains,1392.0,9.7,70.39,0.45,9.28,9.59,0.6,12.0,87.4,0.6,0.065,0.256,0.22,0.0,0.019,0.002,0.034,0.099,0.163,0.003,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,1.68,0.7,0.67,wheat vermicelli vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
A024,"Wheat, vermicelli, roasted","wheat, vermicelli, roasted",wheat vermicelli roasted,Triticum aestivum,Cereals and Millets,Grains,1423.0,10.37,71.42,0.49,9.55,7.61,0.56,12.6,86.8,0.6,0.05,0.199,0.17,0.0,0.023,0.002,0.039,0.107,0.177,0.003,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,2.14,0.73,0.67,wheat vermicelli roasted vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
B001,"Bengal gram, dal","bengal gram, dal",bengal gram dal,Cicer arietinum,Grain Legumes,Legumes,1377.0,21.55,46.72,5.31,15.15,9.18,2.1,29.3,63.5,7.2,0.469,3.352,2.476,0.0,0.046,0.006,0.118,0.325,0.957,0.021,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,1.03,1.56,1.1,bengal gram dal vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
B002,"Bengal gram, whole","bengal gram, whole",bengal gram whole,Cicer arietinum,Grain Legumes,Legumes,1201.0,18.77,39.56,5.11,25.22,8.56,2.78,29.6,62.4,8.1,0.453,3.227,2.337,0.0,0.15,0.007,0.16,0.267,0.935,0.027,0.003,0.0,0.0,0.0,0.002,0.0,0.0,0.002,0.0,0.0,0.99,1.56,2.1,bengal gram whole vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
B003,"Black gram, dal","black gram, dal",black gram dal,Phaseolus mungo,Grain Legumes,Legumes,1356.0,23.06,51.0,1.69,11.93,9.16,3.17,30.4,67.3,2.2,0.276,0.928,0.742,0.0,0.056,0.005,0.173,0.375,1.157,0.019,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.84,1.7,0.88,black gram dal vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
B004,"Black gram, whole","black gram, whole",black gram whole,Phaseolus mungo,Grain Legumes,Legumes,1219.0,21.97,43.99,1.58,20.41,8.7,3.35,32.5,65.1,2.3,0.258,0.879,0.718,0.0,0.086,0.006,0.19,0.345,1.093,0.027,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.001,0.0,0.45,1.8,1.67,black gram whole vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
B005,"Cowpea, brown","cowpea, brown",cowpea brown,Vigna catjang,Grain Legumes,Legumes,1340.0,20.36,54.62,1.15,11.54,9.42,2.9,26.7,71.7,1.5,0.283,0.611,0.55,0.0,0.082,0.006,0.213,0.372,1.241,0.014,0.003,0.0,0.0,0.0,0.001,0.0,0.0,0.002,0.0,0.0,1.6,1.52,0.86,cowpea brown vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
B006,"Cowpea, white","cowpea, white",cowpea white,Vigna catjang,Grain Legumes,Legumes,1340.0,21.25,53.77,1.14,11.7,9.32,2.83,27.9,70.6,1.5,0.285,0.627,0.557,0.0,0.084,0.005,0.213,0.378,1.243,0.013,0.004,0.0,0.0,0.0,0.001,0.0,0.0,0.002,0.0,0.0,1.18,1.59,0.87,cowpea white vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,1
B007,"Field bean, black","field bean, black",field bean black,Phaseolus vulgaris,Grain Legumes,Legumes,1155.0,19.93,43.46,0.92,23.4,9.57,2.73,31.0,67.6,1.4,0.188,0.548,0.468,0.0,0.078,0.004,0.197,0.457,1.272,0.001,0.002,0.0,0.0,0.0,0.001,0.0,0.0,0.002,0.0,0.0,1.15,1.73,2.03,field bean black vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,1
B008,"Field bean, brown","field bean, brown",field bean brown,Phaseolus vulgaris,Grain Legumes,Legumes,1184.0,19.9,45.24,0.98,22.4,8.74,2.74,30.1,68.4,1.5,0.198,0.587,0.46,0.0,0.075,0.005,0.173,0.429,1.245,0.001,0.002,0.0,0.0,0.0,0.001,0.0,0.0,0.002,0.0,0.0,1.17,1.68,1.89,field bean brown vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,1
B009,"Field bean, white","field bean, white",field bean white,Phaseolus vulgaris,Grain Legumes,Legumes,1173.0,19.84,44.53,0.94,22.99,8.61,3.09,30.4,68.2,1.4,0.186,0.565,0.503,0.0,0.077,0.006,0.19,0.448,1.36,0.002,0.003,0.0,0.0,0.0,0.001,0.0,0.0,0.002,0.0,0.0,1.07,1.69,1.96,field bean white vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,5
B010,"Green gram, dal","green gram, dal",green gram dal,Vigna radiata,Grain Legumes,Legumes,1363.0,23.88,52.59,1.35,9.37,9.77,3.04,30.7,67.6,1.7,0.247,0.57,0.534,0.0,0.043,0.004,0.155,0.416,1.268,0.01,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.95,1.75,0.69,green gram dal vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
B011,"Green gram, whole","green gram, whole",green gram whole,Vigna radiata,Grain Legumes,Legumes,1229.0,22.53,46.13,1.14,17.04,9.95,3.22,32.3,66.1,1.6,0.274,0.638,0.611,0.0,0.092,0.005,0.198,0.353,1.177,0.012,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.54,1.83,1.39,green gram whole vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
B012,"Horse gram, whole","horse gram, whole",horse gram whole,Dolicus biflorus,Grain Legumes,Legumes,1379.0,21.73,57.24,0.62,7.88,9.28,3.24,27.3,71.9,0.8,0.135,0.327,0.258,0.0,0.269,0.009,0.152,0.298,1.065,0.012,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.35,1.58,0.57,horse gram whole vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
B013,"Lentil, dal","lentil, dal",lentil dal,Lens culinaris,Grain Legumes,Legumes,1349.0,24.35,52.53,0.75,10.43,9.71,2.23,31.4,67.7,1.0,0.091,0.448,0.336,0.0,0.044,0.007,0.075,0.31,0.786,0.01,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,1.95,1.81,0.77,lentil dal vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
B014,"Lentil, whole, brown","lentil, whole, brown",lentil whole brown,Lens culinaris,Grain Legumes,Legumes,1251.0,22.49,48.47,0.64,16.82,9.2,2.39,31.4,67.7,0.9,0.081,0.379,0.277,0.0,0.076,0.008,0.101,0.274,0.756,0.011,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,1.63,1.8,1.34,lentil whole brown vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
B015,"Lentil, whole, yellowish","lentil, whole, yellowish",lentil whole yellowish,Lens culinaris,Grain Legumes,Legumes,1246.0,22.87,47.91,0.61,16.66,9.75,2.2,32.0,67.1,0.9,0.076,0.366,0.274,0.0,0.077,0.008,0.086,0.261,0.764,0.011,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,1.5,1.84,1.34,lentil whole yellowish vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,2
B016,Moth bean,moth bean,moth bean,Vigna aconitifolia,Grain Legumes,Legumes,1291.0,19.75,52.09,1.76,15.12,8.14,3.14,26.8,70.8,2.4,0.434,0.92,0.848,0.0,0.154,0.008,0.205,0.362,1.356,0.026,0.002,0.0,0.0,0.0,0.001,0.0,0.0,0.002,0.0,0.0,1.36,1.53,1.17,moth bean vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
B017,"Peas, dry","peas, dry",peas dry,Pisum sativum,Grain Legumes,Legumes,1269.0,20.43,48.93,1.89,17.01,9.33,2.41,28.7,68.7,2.7,0.242,1.271,0.873,0.0,0.075,0.005,0.123,0.334,0.922,0.023,0.003,0.0,0.0,0.0,0.0,0.001,0.0,0.003,0.0,0.0,2.03,1.61,1.34,peas dry vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
B018,"Rajmah, black","rajmah, black",rajmah black,Phaseolus vulgaris,Grain Legumes,Legumes,1247.0,19.01,49.59,1.62,17.74,8.69,3.35,27.1,70.6,2.3,0.238,1.032,0.927,0.0,0.134,0.006,0.16,0.386,1.362,0.009,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,2.02,1.52,1.42,rajmah black vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,2
B019,"Rajmah, brown","rajmah, brown",rajmah brown,Phaseolus vulgaris,Grain Legumes,Legumes,1245.0,19.5,48.83,1.68,16.95,9.68,3.36,27.9,69.7,2.4,0.242,0.988,0.896,0.0,0.134,0.006,0.164,0.396,1.366,0.01,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,2.27,1.57,1.36,rajmah brown vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
B020,"Rajmah, red","rajmah, red",rajmah red,Phaseolus vulgaris,Grain Legumes,Legumes,1252.0,19.91,48.61,1.77,16.57,9.87,3.28,28.3,69.2,2.5,0.256,1.019,0.931,0.0,0.126,0.006,0.173,0.409,1.324,0.01,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,1.52,1.59,1.32,rajmah red vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,3
B021,"Red gram, dal","red gram, dal",red gram dal,Cajanus cajan,Grain Legumes,Legumes,1384.0,21.7,55.23,1.56,9.06,9.2,3.26,27.6,70.4,2.0,0.257,0.741,0.651,0.0,0.072,0.004,0.119,0.328,1.395,0.018,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,2.08,1.57,0.65,red gram dal vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
B022,"Red gram, whole","red gram, whole",red gram whole,Cajanus cajan,Grain Legumes,Legumes,1146.0,20.47,42.48,1.38,22.84,9.3,3.53,31.8,66.0,2.1,0.277,0.716,0.637,0.0,0.139,0.005,0.155,0.312,1.303,0.019,0.003,0.0,0.0,0.0,0.001,0.001,0.0,0.002,0.0,0.0,1.3,1.79,1.99,red gram whole vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
B023,Ricebean,ricebean,ricebean,Vigna umbellata,Grain Legumes,Legumes,1265.0,19.97,51.26,0.74,13.37,11.12,3.54,27.7,71.2,1.0,0.172,0.42,0.063,0.0,0.2,0.005,0.201,0.27,1.196,0.011,0.002,0.0,0.001,0.0,0.001,0.0,0.0,0.002,0.0,0.0,1.33,1.58,1.06,ricebean vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,1
B024,"Soya bean, brown","soya bean, brown",soya bean brown,Glycine max,Grain Legumes,Legumes,1596.0,35.58,12.79,19.82,21.55,5.51,4.74,52.2,18.8,29.1,3.092,15.837,11.279,0.0,0.239,0.008,0.259,0.483,1.613,0.002,0.004,0.0,0.0,0.0,0.001,0.001,0.0,0.002,0.0,0.0,2.51,2.23,1.35,soya bean brown vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
B025,"Soya bean, white","soya bean, white",soya bean white,Glycine max Merr,Grain Legumes,Legumes,1579.0,37.8,10.16,19.42,22.63,5.47,4.52,56.1,15.1,28.8,3.002,15.888,11.071,0.0,0.195,0.008,0.189,0.494,1.634,0.003,0.003,0.0,0.0,0.0,0.001,0.001,0.0,0.002,0.0,0.0,2.2,2.39,1.43,soya bean white vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,1
C001,Agathi leaves,agathi leaves,agathi leaves,Sesbania grandiflora,Green Leafy Vegetables,Vegetables,295.0,8.01,5.21,1.35,8.6,74.43,2.42,55.0,35.8,9.3,0.49,0.59,0.532,0.0,0.901,0.004,0.097,0.053,0.674,0.018,0.001,0.013,0.121,0.0,0.002,0.0,0.0,0.001,0.0,0.0,0.23,2.72,2.92,agathi leaves vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,1
C002,"Amaranth leaves, green","amaranth leaves, green",amaranth leaves green,Amaranthus gangeticus,Green Leafy Vegetables,Vegetables,128.0,3.29,2.28,0.65,4.41,86.85,2.52,52.9,36.7,10.5,0.194,0.407,0.358,0.0,0.33,0.005,0.194,0.073,0.572,0.016,0.001,0.009,0.084,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.32,2.57,3.45,amaranth leaves green vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
C003,"Amaranth leaves, red","amaranth leaves, red",amaranth leaves red,Amaranthus gangeticus,Green Leafy Vegetables,Vegetables,140.0,3.93,2.37,0.63,4.91,85.56,2.61,56.7,34.2,9.1,0.21,0.373,0.326,0.0,0.245,0.007,0.177,0.076,0.564,0.015,0.001,0.008,0.086,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.28,2.81,3.51,amaranth leaves red vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,1
C004,"Amaranth leaves, red and green","amaranth leaves, red and green",amaranth leaves red and green,Amaranthus gangeticus,Green Leafy Vegetables,Vegetables,132.0,3.09,2.87,0.53,4.6,86.37,2.55,47.6,44.2,8.2,0.197,0.379,0.332,0.0,0.269,0.005,0.146,0.068,0.597,0.018,0.001,0.008,0.077,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.15,2.34,3.48,amaranth leaves red and green vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,4
C005,"Amaranth, spinous, leaves, green","amaranth, spinous, leaves, green",amaranth spinous leaves green,Amaranth spinosus,Green Leafy Vegetables,Vegetables,110.0,3.54,1.61,0.36,5.1,86.46,2.94,64.2,29.2,6.5,0.085,0.202,0.186,0.0,0.359,0.006,0.202,0.072,0.569,0.016,0.002,0.002,0.083,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.14,3.22,4.64,amaranth spinous leaves green vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,4
C006,"Amaranth, spinous, leaves, red and green","amaranth, spinous, leaves, red and green",amaranth spinous leaves red and green,Amaranth spinosus,Green Leafy Vegetables,Vegetables,99.0,2.8,1.45,0.34,5.57,86.64,3.2,61.0,31.6,7.4,0.086,0.186,0.168,0.0,0.372,0.005,0.187,0.085,0.588,0.016,0.001,0.001,0.077,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.13,2.83,5.63,amaranth spinous leaves red and green vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,2
C007,Basella leaves,basella leaves,basella leaves,Basella alba,Green Leafy Vegetables,Vegetables,82.0,1.57,2.01,0.45,2.21,92.68,1.09,39.0,49.9,11.2,0.101,0.254,0.203,0.0,0.094,0.004,0.153,0.037,0.337,0.019,0.0,0.002,0.063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,1.91,2.7,basella leaves vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,2
C008,Bathua leaves,bathua leaves,bathua leaves,Chenopodium album.,Green Leafy Vegetables,Vegetables,116.0,2.5,2.56,0.44,4.01,88.77,1.71,45.5,46.5,8.0,0.12,0.228,0.219,0.0,0.211,0.003,0.048,0.038,0.438,0.011,0.001,0.001,0.041,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.52,2.16,3.46,bathua leaves vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,2
C009,Beetroot leaves,beetroot leaves,beetroot leaves,Beta vulgaris,Green Leafy Vegetables,Vegetables,145.0,2.38,3.86,0.75,3.64,86.68,2.69,34.0,55.2,10.7,0.188,0.388,0.308,0.0,0.151,0.006,0.12,0.036,0.53,0.111,0.0,0.002,0.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,1.64,2.51,beetroot leaves vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
C010,"Betel leaves, big (kolkata)","betel leaves, big (kolkata)",betel leaves big kolkata ,Piper betle,Green Leafy Vegetables,Vegetables,202.0,2.51,7.37,0.75,2.12,84.93,2.33,23.6,69.3,7.1,0.25,0.349,0.256,0.0,0.207,0.003,0.107,0.052,0.649,0.017,0.0,0.004,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,1.24,1.05,betel leaves big kolkata  vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
